game_pk,pregame_total,n_books,commence_time,source
822791,8.5,6,2026-07-01T19:28:00Z,theoddsapi
823446,8.0,9,2026-07-01T22:41:00Z,theoddsapi
824905,9.0,9,2026-07-01T23:16:00Z,theoddsapi
824094,10.5,9,2026-07-01T23:41:00Z,theoddsapi
823767,9.0,9,2026-07-02T00:11:00Z,theoddsapi
824174,8.5,9,2026-07-02T00:11:00Z,theoddsapi
824337,11.0,9,2026-07-02T00:41:00Z,theoddsapi
825064,9.5,9,2026-07-02T01:41:00Z,theoddsapi
824985,11.0,9,2026-07-02T01:41:00Z,theoddsapi
824416,8.5,6,2026-07-02T22:41:00Z,theoddsapi
822884,7.5,6,2026-07-03T00:06:00Z,theoddsapi
823119,7.0,6,2026-07-03T01:41:00Z,theoddsapi
823210,9.0,3,2026-06-24T01:45:00.000Z,oddspapi
823611,8.5,1,2026-06-24T17:10:00.000Z,oddspapi
824341,10.5,3,2026-06-24T19:10:00.000Z,oddspapi
824255,9.0,1,2026-06-26T22:40:00.000Z,oddspapi
823363,7.5,1,2026-06-26T22:40:00.000Z,oddspapi
824824,9.0,1,2026-06-26T23:05:00.000Z,oddspapi
822796,8.0,1,2026-06-26T23:07:00.000Z,oddspapi
824423,7.5,1,2026-06-26T23:10:00.000Z,oddspapi
824743,8.5,1,2026-06-26T23:10:00.000Z,oddspapi
823610,8.0,1,2026-06-26T23:10:00.000Z,oddspapi
822962,8.5,1,2026-06-26T23:10:00.000Z,oddspapi
824582,8.5,1,2026-06-26T23:40:00.000Z,oddspapi
823773,7.0,1,2026-06-26T23:45:00.000Z,oddspapi
